iter	Passed	Remaining
0	121	121362
1	122	61155
2	124	41526
3	126	31478
4	129	25755
5	131	21715
6	131	18709
7	133	16519
8	134	14794
9	137	13609
10	138	12458
11	139	11470
12	139	10627
13	140	9908
14	141	9284
15	142	8734
16	142	8252
17	143	7821
18	143	7432
19	144	7081
20	145	6766
21	145	6476
22	146	6215
23	146	5976
24	147	5756
25	148	5554
26	148	5366
27	149	5191
28	151	5077
29	152	4935
30	153	4795
31	154	4660
32	154	4536
33	155	4418
34	156	4305
35	157	4227
36	158	4128
37	159	4047
38	160	3958
39	161	3872
40	162	3802
41	163	3726
42	165	3694
43	166	3625
44	167	3557
45	168	3491
46	168	3425
47	169	3362
48	170	3312
49	171	3257
50	172	3204
51	172	3152
52	173	3102
53	174	3054
54	175	3007
55	175	2962
56	176	2918
57	177	2879
58	178	2846
59	179	2808
60	179	2768
61	180	2731
62	181	2694
63	181	2658
64	182	2623
65	183	2590
66	183	2556
67	184	2524
68	184	2494
69	185	2464
70	186	2435
71	186	2407
72	187	2379
73	187	2351
74	188	2324
75	189	2298
76	189	2273
77	190	2249
78	190	2226
79	191	2202
80	192	2179
81	193	2160
82	193	2140
83	195	2136
84	196	2119
85	197	2101
86	198	2081
87	199	2063
88	199	2044
89	200	2026
90	202	2025
91	203	2010
92	204	1997
93	205	1981
94	206	1966
95	207	1951
96	208	1938
97	208	1923
98	209	1909
99	210	1894
100	211	1879
101	211	1864
102	212	1850
103	213	1837
104	214	1825
105	214	1812
106	215	1799
107	216	1785
108	216	1773
109	217	1760
110	218	1747
111	218	1735
112	219	1723
113	220	1711
114	221	1701
115	221	1689
116	222	1677
117	223	1668
118	223	1657
119	225	1650
120	225	1639
121	226	1628
122	227	1618
123	227	1608
124	228	1598
125	229	1588
126	229	1577
127	230	1567
128	230	1559
129	231	1549
130	232	1540
131	232	1531
132	233	1523
133	234	1514
134	235	1505
135	235	1497
136	236	1488
137	237	1481
138	239	1481
139	240	1474
140	240	1466
141	241	1457
142	241	1449
143	242	1442
144	243	1434
145	243	1426
146	244	1419
147	245	1411
148	245	1403
149	246	1396
150	247	1389
151	247	1381
152	248	1374
153	248	1367
154	249	1359
155	250	1353
156	250	1346
157	251	1339
158	251	1332
159	254	1337
160	255	1330
161	255	1323
162	256	1317
163	257	1311
164	258	1306
165	258	1300
166	259	1294
167	260	1288
168	260	1283
169	261	1276
170	262	1271
171	263	1266
172	263	1260
173	264	1257
174	265	1252
175	266	1246
176	266	1241
177	267	1236
178	268	1231
179	269	1227
180	270	1223
181	271	1218
182	271	1212
183	272	1207
184	273	1202
185	273	1197
186	275	1196
187	276	1193
188	277	1189
189	277	1184
190	278	1180
191	279	1175
192	280	1171
193	280	1165
194	281	1161
195	281	1156
